id,original_id,category,dataset,image_path,numpy_path,original_path,description,width,height,original_width,original_height,aspect_ratio,file_size_kb,room_count,room_types,has_balcony,has_garage,floors,architectural_style,area_estimate
high_quality_00000,3954,high_quality,cubicasa5k,data/processed/images/high_quality_00000_3954.png,data/processed/numpy_arrays/high_quality_00000_3954.npy,/Users/premshah/Project/Master/Deep Learning/FloorMind/data/cubicasa5k/high_quality/3954/F1_original.png,Modern compact 2-room apartment with balcony and garage,512,512,329,530,0.620754716981132,131,2,,True,True,1,modern,268
high_quality_00001,11940,high_quality,cubicasa5k,data/processed/images/high_quality_00001_11940.png,data/processed/numpy_arrays/high_quality_00001_11940.npy,/Users/premshah/Project/Master/Deep Learning/FloorMind/data/cubicasa5k/high_quality/11940/F1_original.png,Traditional compact 2-room apartment,512,512,862,574,1.5017421602787457,115,2,,False,False,1,traditional,274
high_quality_00002,8322,high_quality,cubicasa5k,data/processed/images/high_quality_00002_8322.png,data/processed/numpy_arrays/high_quality_00002_8322.npy,/Users/premshah/Project/Master/Deep Learning/FloorMind/data/cubicasa5k/high_quality/8322/F1_original.png,Modern compact 2-room apartment with garage,512,512,552,534,1.0337078651685394,96,2,,False,True,1,modern,262
high_quality_00003,12500,high_quality,cubicasa5k,data/processed/images/high_quality_00003_12500.png,data/processed/numpy_arrays/high_quality_00003_12500.npy,/Users/premshah/Project/Master/Deep Learning/FloorMind/data/cubicasa5k/high_quality/12500/F1_original.png,Traditional compact 2-room apartment with balcony,512,512,1920,1440,1.3333333333333333,408,2,,True,False,1,traditional,294
high_quality_00004,9835,high_quality,cubicasa5k,data/processed/images/high_quality_00004_9835.png,data/processed/numpy_arrays/high_quality_00004_9835.npy,/Users/premshah/Project/Master/Deep Learning/FloorMind/data/cubicasa5k/high_quality/9835/F1_original.png,Contemporary 4-room apartment,512,512,1077,490,2.1979591836734693,126,4,,False,False,1,contemporary,580
high_quality_00005,14267,high_quality,cubicasa5k,data/processed/images/high_quality_00005_14267.png,data/processed/numpy_arrays/high_quality_00005_14267.npy,/Users/premshah/Project/Master/Deep Learning/FloorMind/data/cubicasa5k/high_quality/14267/F1_original.png,Modern compact 2-room apartment with garage,512,512,630,727,0.8665749656121046,277,2,,False,True,1,modern,296
high_quality_00006,12190,high_quality,cubicasa5k,data/processed/images/high_quality_00006_12190.png,data/processed/numpy_arrays/high_quality_00006_12190.npy,/Users/premshah/Project/Master/Deep Learning/FloorMind/data/cubicasa5k/high_quality/12190/F1_original.png,Modern compact 2-room apartment with garage,512,512,860,655,1.3129770992366412,184,2,,False,True,1,modern,280
high_quality_00007,13426,high_quality,cubicasa5k,data/processed/images/high_quality_00007_13426.png,data/processed/numpy_arrays/high_quality_00007_13426.npy,/Users/premshah/Project/Master/Deep Learning/FloorMind/data/cubicasa5k/high_quality/13426/F1_original.png,Modern compact 2-room apartment with garage,512,512,276,680,0.40588235294117647,72,2,,False,True,1,modern,294
high_quality_00008,6079,high_quality,cubicasa5k,data/processed/images/high_quality_00008_6079.png,data/processed/numpy_arrays/high_quality_00008_6079.npy,/Users/premshah/Project/Master/Deep Learning/FloorMind/data/cubicasa5k/high_quality/6079/F1_original.png,Traditional 4-room apartment with balcony,512,512,683,558,1.2240143369175627,92,4,,True,False,1,traditional,672
high_quality_00009,12197,high_quality,cubicasa5k,data/processed/images/high_quality_00009_12197.png,data/processed/numpy_arrays/high_quality_00009_12197.npy,/Users/premshah/Project/Master/Deep Learning/FloorMind/data/cubicasa5k/high_quality/12197/F1_original.png,Traditional compact 2-room apartment,512,512,944,744,1.2688172043010753,374,2,,False,False,1,traditional,306
high_quality_00010,12163,high_quality,cubicasa5k,data/processed/images/high_quality_00010_12163.png,data/processed/numpy_arrays/high_quality_00010_12163.npy,/Users/premshah/Project/Master/Deep Learning/FloorMind/data/cubicasa5k/high_quality/12163/F1_original.png,Traditional compact 2-room apartment with garage,512,512,509,557,0.9138240574506283,137,2,,False,True,1,traditional,270
high_quality_00011,11186,high_quality,cubicasa5k,data/processed/images/high_quality_00011_11186.png,data/processed/numpy_arrays/high_quality_00011_11186.npy,/Users/premshah/Project/Master/Deep Learning/FloorMind/data/cubicasa5k/high_quality/11186/F1_original.png,Contemporary compact 2-room apartment,512,512,884,937,0.9434364994663821,103,2,,False,False,1,contemporary,314
high_quality_00012,1403,high_quality,cubicasa5k,data/processed/images/high_quality_00012_1403.png,data/processed/numpy_arrays/high_quality_00012_1403.npy,/Users/premshah/Project/Master/Deep Learning/FloorMind/data/cubicasa5k/high_quality/1403/F1_original.png,Traditional compact 2-room apartment with balcony and garage,512,512,469,613,0.765089722675367,190,2,,True,True,1,traditional,386
