id,original_id,category,dataset,image_path,numpy_path,original_path,description,width,height,original_width,original_height,aspect_ratio,file_size_kb,room_count,room_types,has_balcony,has_garage,floors,architectural_style,area_estimate
high_quality_00117,397,high_quality,cubicasa5k,data/processed/images/high_quality_00117_397.png,data/processed/numpy_arrays/high_quality_00117_397.npy,/Users/premshah/Project/Master/Deep Learning/FloorMind/data/cubicasa5k/high_quality/397/F1_original.png,Modern compact 2-room apartment,512,512,602,365,1.6493150684931508,153,2,,False,False,1,modern,398
high_quality_architectural_03254,20075,high_quality_architectural,cubicasa5k,data/processed/images/high_quality_architectural_03254_20075.png,data/processed/numpy_arrays/high_quality_architectural_03254_20075.npy,/Users/premshah/Project/Master/Deep Learning/FloorMind/data/cubicasa5k/high_quality_architectural/20075/F1_original.png,Traditional compact 2-room apartment with balcony (architectural quality),512,512,553,890,0.6213483146067416,332,2,,True,False,1,traditional,240
high_quality_architectural_02798,13390,high_quality_architectural,cubicasa5k,data/processed/images/high_quality_architectural_02798_13390.png,data/processed/numpy_arrays/high_quality_architectural_02798_13390.npy,/Users/premshah/Project/Master/Deep Learning/FloorMind/data/cubicasa5k/high_quality_architectural/13390/F1_original.png,Modern compact 2-room apartment with garage (architectural quality),512,512,2367,1431,1.6540880503144655,702,2,,False,True,1,modern,388
high_quality_architectural_02517,11051,high_quality_architectural,cubicasa5k,data/processed/images/high_quality_architectural_02517_11051.png,data/processed/numpy_arrays/high_quality_architectural_02517_11051.npy,/Users/premshah/Project/Master/Deep Learning/FloorMind/data/cubicasa5k/high_quality_architectural/11051/F1_original.png,Traditional compact 2-room apartment (architectural quality),512,512,841,445,1.8898876404494382,398,2,,False,False,1,traditional,274
high_quality_architectural_02678,13306,high_quality_architectural,cubicasa5k,data/processed/images/high_quality_architectural_02678_13306.png,data/processed/numpy_arrays/high_quality_architectural_02678_13306.npy,/Users/premshah/Project/Master/Deep Learning/FloorMind/data/cubicasa5k/high_quality_architectural/13306/F1_original.png,Contemporary compact 2-room apartment (architectural quality),512,512,801,945,0.8476190476190476,261,2,,False,False,1,contemporary,388
high_quality_architectural_03317,123,high_quality_architectural,cubicasa5k,data/processed/images/high_quality_architectural_03317_123.png,data/processed/numpy_arrays/high_quality_architectural_03317_123.npy,/Users/premshah/Project/Master/Deep Learning/FloorMind/data/cubicasa5k/high_quality_architectural/123/F1_original.png,Contemporary 4-room apartment (architectural quality),512,512,969,470,2.0617021276595744,394,4,,False,False,1,contemporary,532
colorful_00179,12217,colorful,cubicasa5k,data/processed/images/colorful_00179_12217.png,data/processed/numpy_arrays/colorful_00179_12217.npy,/Users/premshah/Project/Master/Deep Learning/FloorMind/data/cubicasa5k/colorful/12217/F1_original.png,Traditional compact 2-room apartment with balcony (colorful rendering),512,512,662,1218,0.5435139573070608,845,2,,True,False,1,traditional,274
high_quality_architectural_01706,14440,high_quality_architectural,cubicasa5k,data/processed/images/high_quality_architectural_01706_14440.png,data/processed/numpy_arrays/high_quality_architectural_01706_14440.npy,/Users/premshah/Project/Master/Deep Learning/FloorMind/data/cubicasa5k/high_quality_architectural/14440/F1_original.png,Contemporary compact 2-room apartment with garage (architectural quality),512,512,848,1200,0.7066666666666667,376,2,,False,True,1,contemporary,346
high_quality_architectural_02613,12675,high_quality_architectural,cubicasa5k,data/processed/images/high_quality_architectural_02613_12675.png,data/processed/numpy_arrays/high_quality_architectural_02613_12675.npy,/Users/premshah/Project/Master/Deep Learning/FloorMind/data/cubicasa5k/high_quality_architectural/12675/F1_original.png,Modern compact 2-room apartment with balcony and garage (architectural quality),512,512,448,668,0.6706586826347305,141,2,,True,True,1,modern,298
high_quality_architectural_03201,13580,high_quality_architectural,cubicasa5k,data/processed/images/high_quality_architectural_03201_13580.png,data/processed/numpy_arrays/high_quality_architectural_03201_13580.npy,/Users/premshah/Project/Master/Deep Learning/FloorMind/data/cubicasa5k/high_quality_architectural/13580/F1_original.png,Modern compact 2-room apartment with balcony and garage (architectural quality),512,512,935,1007,0.9285004965243296,774,2,,True,True,1,modern,350
high_quality_architectural_01908,8344,high_quality_architectural,cubicasa5k,data/processed/images/high_quality_architectural_01908_8344.png,data/processed/numpy_arrays/high_quality_architectural_01908_8344.npy,/Users/premshah/Project/Master/Deep Learning/FloorMind/data/cubicasa5k/high_quality_architectural/8344/F1_original.png,Traditional compact 2-room apartment with garage (architectural quality),512,512,983,885,1.1107344632768361,517,2,,False,True,1,traditional,376
high_quality_00569,14469,high_quality,cubicasa5k,data/processed/images/high_quality_00569_14469.png,data/processed/numpy_arrays/high_quality_00569_14469.npy,/Users/premshah/Project/Master/Deep Learning/FloorMind/data/cubicasa5k/high_quality/14469/F1_original.png,Traditional spacious 6-room house with balcony,512,512,1086,1222,0.8887070376432079,295,6,,True,False,1,traditional,804
high_quality_architectural_01496,1214,high_quality_architectural,cubicasa5k,data/processed/images/high_quality_architectural_01496_1214.png,data/processed/numpy_arrays/high_quality_architectural_01496_1214.npy,/Users/premshah/Project/Master/Deep Learning/FloorMind/data/cubicasa5k/high_quality_architectural/1214/F1_original.png,Modern 4-room apartment with balcony (architectural quality),512,512,2139,2319,0.9223803363518758,4266,4,,True,False,1,modern,692
high_quality_00216,10748,high_quality,cubicasa5k,data/processed/images/high_quality_00216_10748.png,data/processed/numpy_arrays/high_quality_00216_10748.npy,/Users/premshah/Project/Master/Deep Learning/FloorMind/data/cubicasa5k/high_quality/10748/F1_original.png,Traditional compact 2-room apartment,512,512,800,567,1.4109347442680775,135,2,,False,False,1,traditional,268
high_quality_00685,1912,high_quality,cubicasa5k,data/processed/images/high_quality_00685_1912.png,data/processed/numpy_arrays/high_quality_00685_1912.npy,/Users/premshah/Project/Master/Deep Learning/FloorMind/data/cubicasa5k/high_quality/1912/F1_original.png,Contemporary spacious 6-room house with garage,512,512,579,434,1.3341013824884793,84,6,,False,True,1,contemporary,852
high_quality_00438,175,high_quality,cubicasa5k,data/processed/images/high_quality_00438_175.png,data/processed/numpy_arrays/high_quality_00438_175.npy,/Users/premshah/Project/Master/Deep Learning/FloorMind/data/cubicasa5k/high_quality/175/F1_original.png,Modern compact 2-room apartment with garage,512,512,546,522,1.0459770114942528,180,2,,False,True,1,modern,334
high_quality_architectural_01472,7777,high_quality_architectural,cubicasa5k,data/processed/images/high_quality_architectural_01472_7777.png,data/processed/numpy_arrays/high_quality_architectural_01472_7777.npy,/Users/premshah/Project/Master/Deep Learning/FloorMind/data/cubicasa5k/high_quality_architectural/7777/F1_original.png,Modern compact 2-room apartment (architectural quality),512,512,591,422,1.400473933649289,134,2,,False,False,1,modern,330
high_quality_architectural_01386,10700,high_quality_architectural,cubicasa5k,data/processed/images/high_quality_architectural_01386_10700.png,data/processed/numpy_arrays/high_quality_architectural_01386_10700.npy,/Users/premshah/Project/Master/Deep Learning/FloorMind/data/cubicasa5k/high_quality_architectural/10700/F1_original.png,Traditional compact 2-room apartment (architectural quality),512,512,812,590,1.376271186440678,535,2,,False,False,1,traditional,276
high_quality_architectural_02013,4947,high_quality_architectural,cubicasa5k,data/processed/images/high_quality_architectural_02013_4947.png,data/processed/numpy_arrays/high_quality_architectural_02013_4947.npy,/Users/premshah/Project/Master/Deep Learning/FloorMind/data/cubicasa5k/high_quality_architectural/4947/F1_original.png,Modern 4-room apartment with garage (architectural quality),512,512,920,680,1.3529411764705883,208,4,,False,True,1,modern,752
high_quality_00810,8676,high_quality,cubicasa5k,data/processed/images/high_quality_00810_8676.png,data/processed/numpy_arrays/high_quality_00810_8676.npy,/Users/premshah/Project/Master/Deep Learning/FloorMind/data/cubicasa5k/high_quality/8676/F1_original.png,Contemporary compact 2-room apartment with balcony and garage,512,512,1528,834,1.8321342925659472,539,2,,True,True,1,contemporary,276
high_quality_architectural_02605,14576,high_quality_architectural,cubicasa5k,data/processed/images/high_quality_architectural_02605_14576.png,data/processed/numpy_arrays/high_quality_architectural_02605_14576.npy,/Users/premshah/Project/Master/Deep Learning/FloorMind/data/cubicasa5k/high_quality_architectural/14576/F1_original.png,Contemporary compact 2-room apartment with garage (architectural quality),512,512,413,739,0.5588633288227334,225,2,,False,True,1,contemporary,254
high_quality_architectural_01042,7668,high_quality_architectural,cubicasa5k,data/processed/images/high_quality_architectural_01042_7668.png,data/processed/numpy_arrays/high_quality_architectural_01042_7668.npy,/Users/premshah/Project/Master/Deep Learning/FloorMind/data/cubicasa5k/high_quality_architectural/7668/F1_original.png,Modern compact 2-room apartment with balcony (architectural quality),512,512,739,1024,0.7216796875,209,2,,True,False,1,modern,386
high_quality_architectural_03407,3916,high_quality_architectural,cubicasa5k,data/processed/images/high_quality_architectural_03407_3916.png,data/processed/numpy_arrays/high_quality_architectural_03407_3916.npy,/Users/premshah/Project/Master/Deep Learning/FloorMind/data/cubicasa5k/high_quality_architectural/3916/F1_original.png,Modern 4-room apartment (architectural quality),512,512,1609,1105,1.4561085972850678,711,4,,False,False,1,modern,696
